date_only,time_only,flight_count_per_minute
2025-07-31,08:37,196.0
2025-07-31,09:33,208.0
2025-07-31,10:31,213.0
2025-07-31,11:25,189.0
2025-07-31,12:51,178.0
2025-07-31,12:58,169.0
2025-07-31,13:47,189.0
2025-07-31,14:29,210.0
2025-07-31,15:30,189.0
2025-07-31,16:36,181.0
2025-07-31,18:41,151.0
2025-07-31,19:24,125.0
