timestamp,icao24,callsign,origin_country,latitude,longitude,baro_altitude,geo_altitude,on_ground,velocity,true_track,vertical_rate,hour,day_of_week,is_weekend,flight_phase,airline_code
2025-07-31 08:37:58,801748,IGO6374,India,14.9896,77.7315,10363.2,11010.9,False,244.72,302.99,0,8,3,False,cruise,IG
2025-07-31 08:37:58,801746,IGO5143,India,18.6749,73.1765,2400.3,2400.3,False,116.95,74.44,-1.95,8,3,False,cruise,IG
2025-07-31 08:37:58,801751,IGO7454,India,17.7578,74.497,6400.8,6675.12,False,135.66,22.29,0,8,3,False,cruise,IG
2025-07-31 08:37:58,801750,SDG235,India,29.7189,77.2495,6438.9,6781.8,False,206.12,161.52,-7.8,8,3,False,descent,SD
2025-07-31 08:37:58,80177c,AXB2896,India,25.3154,90.1353,8526.78,9060.18,False,229.7,245.1,2.93,8,3,False,cruise,AX
2025-07-31 08:37:58,80044c,AXB192,India,29.705,75.3181,8442.96,9090.66,False,229.71,352.8,-10.4,8,3,False,descent,AX
2025-07-31 08:37:58,80177d,IGO9TY,India,19.59,72.809,4526.28,4686.3,False,197.95,5.52,12.03,8,3,False,climb,IG
2025-07-31 08:37:58,80177b,AXB2937,India,27.3144,78.6262,9692.64,10325.1,False,226.32,133.71,6.83,8,3,False,climb,AX
2025-07-31 08:37:58,8016a3,IGO148Y,India,18.8917,73.8902,11269.98,12009.12,False,224.61,129.89,0,8,3,False,cruise,IG
2025-07-31 08:37:58,8016a4,IGO6358,India,28.7068,77.9132,6195.06,6507.48,False,168.8,45.74,-7.15,8,3,False,descent,IG
2025-07-31 08:37:58,8015c2,IGO30M,India,22.6526,88.4458,121.92,,True,6.94,225,,8,3,False,unknown,IG
2025-07-31 08:37:58,8015c5,AIC2146,India,22.9108,83.7473,10980.42,11711.94,False,246.27,326.68,0,8,3,False,cruise,AI
2025-07-31 08:37:58,8015c6,IGO55YA,India,10.3476,76.1696,3505.2,3581.4,False,175.11,334.41,11.05,8,3,False,climb,IG
2025-07-31 08:37:58,8015ce,IGO1118,India,21.6643,86.2014,10972.8,11696.7,False,243.25,239.64,0,8,3,False,cruise,IG
2025-07-31 08:37:58,8015d8,IGO2581,India,26.7094,77.2666,10386.06,11102.34,False,235.29,187.92,2.6,8,3,False,cruise,IG
2025-07-31 08:37:58,702c25,S3AGE,Bangladesh,23.2532,90.8729,3657.6,3741.42,False,122.9,329.57,0,8,3,False,cruise,S3
2025-07-31 08:37:58,8015b2,IGO20NK,India,22.3891,86.2951,8930.64,9502.14,False,246.33,263.77,3.58,8,3,False,climb,IG
2025-07-31 08:37:58,8015ad,IGO5337,India,18.5501,72.8987,6164.58,6438.9,False,203.57,144.46,9.43,8,3,False,climb,IG
2025-07-31 08:37:58,885311,THA324,Thailand,19.9207,90.6147,10668,11445.24,False,236.13,127.12,0,8,3,False,cruise,TH
